consumer_id,tradeline_id,subscriber_name,subscriber_code,account_type,opened,closed,credit_limit,high_credit,balance,past_due,payment_status,terms,months_reviewed
C0011,T00037,Bank_416,SUB75847,installment,2017-08-22,2022-08-21,0,12000,8846.13,100,current,R,98
C0012,T00038,Bank_929,SUB53665,mortgage,2013-05-28,2017-05-27,0,250000,123806.13,750,current,R,149
C0012,T00039,Bank_406,SUB96409,mortgage,2014-12-07,2016-12-06,0,180000,163121.68,750,current,R,130
C0012,T00040,Bank_844,SUB47098,mortgage,2015-01-18,2019-01-17,0,450000,436815.78,750,current,R,129
C0012,T00041,Bank_826,SUB49855,installment,2019-12-07,2024-12-05,0,8000,1165.32,100,current,R,70
C0013,T00042,Bank_109,SUB57477,installment,2015-10-05,2019-10-04,0,12000,2656.51,250,current,R,120
C0013,T00043,Bank_198,SUB56607,revolving,2013-11-26,,10000,10000,9323.82,250,30_days_late,R,143
C0013,T00044,Bank_513,SUB42112,mortgage,2025-03-02,2030-03-01,0,320000,188690.14,0,current,R,7
C0014,T00045,Bank_985,SUB95237,revolving,2013-04-13,2018-04-12,30000,30000,22061.77,100,current,R,150
C0014,T00046,Bank_686,SUB85055,revolving,2022-05-21,2025-05-20,1000,1000,131.96,250,current,R,41
C0015,T00047,Bank_228,SUB23033,revolving,2018-12-24,2023-12-23,10000,10000,4848.24,750,current,R,82
C0015,T00048,Bank_649,SUB79479,mortgage,2020-02-23,,0,250000,102279.32,750,current,R,68
C0015,T00049,Bank_713,SUB33584,mortgage,2025-02-17,2030-02-16,0,180000,133806.22,100,current,R,8
C0016,T00050,Bank_227,SUB76341,revolving,2024-06-04,2029-06-03,30000,30000,5242.86,100,current,R,16
C0016,T00051,Bank_400,SUB96397,revolving,2019-06-18,2020-06-17,5000,5000,321.6,0,30_days_late,R,76
C0017,T00052,Bank_145,SUB41077,mortgage,2024-03-19,2027-03-19,0,320000,192616.08,100,current,R,19
C0017,T00053,Bank_737,SUB65314,revolving,2011-04-05,2013-04-04,20000,20000,10999.76,500,current,R,174
C0017,T00054,Bank_246,SUB80242,installment,2012-09-09,2014-09-09,0,22000,2198.33,750,60_days_late,R,157
C0017,T00055,Bank_257,SUB51465,mortgage,2016-02-21,2018-02-20,0,320000,179550.87,250,current,R,116
C0018,T00056,Bank_191,SUB57555,revolving,2022-01-20,2025-01-19,20000,20000,2511.81,100,current,R,45
C0018,T00057,Bank_207,SUB26187,revolving,2020-05-05,,5000,5000,147.34,250,current,R,65
C0018,T00058,Bank_722,SUB22984,mortgage,2015-09-24,,0,450000,50273.52,500,current,R,121
C0019,T00059,Bank_830,SUB30380,mortgage,2015-06-25,2018-06-24,0,450000,215004.33,100,current,R,124
C0019,T00060,Bank_528,SUB70003,revolving,2014-03-13,2017-03-12,30000,30000,19008.77,250,current,R,139
C0020,T00061,Bank_978,SUB21395,installment,2024-06-26,2027-06-26,0,22000,11434.96,250,current,R,16
C0020,T00062,Bank_158,SUB21086,mortgage,2019-07-25,2020-07-24,0,180000,16852.59,100,current,R,75
C0021,T00063,Bank_731,SUB34927,installment,2019-09-16,2020-09-15,0,12000,5765.64,100,current,R,73
C0021,T00064,Bank_640,SUB99663,revolving,2010-12-14,2013-12-13,30000,30000,19641.81,0,charged_off,R,178
C0021,T00065,Bank_152,SUB65407,mortgage,2011-10-15,,0,250000,46955.41,250,current,R,168
C0021,T00066,Bank_594,SUB48475,installment,2025-07-06,2026-07-06,0,12000,9821.49,100,current,R,3
C0022,T00067,Bank_136,SUB70693,revolving,2016-01-24,2020-01-23,5000,5000,4559.72,0,current,R,117
C0022,T00068,Bank_109,SUB23282,installment,2025-01-12,2029-01-11,0,18000,6475.27,250,current,R,9
C0022,T00069,Bank_356,SUB39634,revolving,2023-08-07,2028-08-05,10000,10000,1388.89,250,current,R,26
C0023,T00070,Bank_462,SUB66880,mortgage,2022-06-10,2024-06-09,0,320000,39791.1,750,current,R,40
C0023,T00071,Bank_264,SUB97320,revolving,2010-06-28,2011-06-28,5000,5000,293.23,500,30_days_late,R,184
C0023,T00072,Bank_882,SUB62412,revolving,2016-08-22,,10000,10000,4895.05,250,current,R,110
C0024,T00073,Bank_949,SUB54845,revolving,2022-03-04,,2000,2000,338.64,250,current,R,43
C0024,T00074,Bank_846,SUB77009,installment,2023-10-24,2027-10-23,0,18000,8756.86,250,current,R,24
C0024,T00075,Bank_929,SUB23508,mortgage,2015-04-09,2018-04-08,0,250000,164919.31,750,current,R,126
C0024,T00076,Bank_536,SUB12314,revolving,2015-04-28,2017-04-27,1000,1000,147.0,250,30_days_late,R,126
C0025,T00077,Bank_536,SUB72809,mortgage,2016-02-28,2020-02-27,0,320000,221488.8,0,current,R,116
C0025,T00078,Bank_352,SUB51922,revolving,2011-09-14,2014-09-13,5000,5000,1845.17,0,current,R,169
C0025,T00079,Bank_289,SUB43064,revolving,2011-03-02,2014-03-01,5000,5000,2365.88,0,current,R,175
C0025,T00080,Bank_859,SUB57367,mortgage,2025-06-11,2026-06-11,0,180000,121615.75,250,current,R,4
C0026,T00081,Bank_770,SUB34960,installment,2021-04-21,2026-04-20,0,8000,6973.65,100,current,R,54
C0026,T00082,Bank_306,SUB79934,revolving,2016-12-15,,20000,20000,12285.0,750,charged_off,R,106
C0026,T00083,Bank_559,SUB92557,mortgage,2014-01-05,2019-01-04,0,320000,280295.42,500,30_days_late,R,141
C0026,T00084,Bank_679,SUB17968,mortgage,2013-07-03,2018-07-02,0,180000,32446.39,250,current,R,147
C0027,T00085,Bank_499,SUB62540,mortgage,2016-12-27,2021-12-26,0,180000,32201.55,750,current,R,106
C0027,T00086,Bank_837,SUB78822,revolving,2018-04-06,2023-04-05,20000,20000,13777.06,750,current,R,90
C0027,T00087,Bank_754,SUB29416,mortgage,2018-05-28,2021-05-27,0,180000,33167.65,250,current,R,89
C0027,T00088,Bank_218,SUB10183,revolving,2018-03-09,,30000,30000,28824.68,0,current,R,91
C0028,T00089,Bank_518,SUB90148,installment,2021-11-20,,0,8000,7428.57,500,current,R,47
C0028,T00090,Bank_650,SUB96155,installment,2019-06-02,2020-06-01,0,12000,8655.09,500,60_days_late,R,76
C0028,T00091,Bank_744,SUB61834,mortgage,2013-12-24,2016-12-23,0,250000,201043.29,500,current,R,142
C0028,T00092,Bank_935,SUB33083,installment,2014-08-08,2018-08-07,0,12000,10632.98,250,current,R,134
C0029,T00093,Bank_173,SUB65888,installment,2025-12-06,2026-12-06,0,12000,10438.12,250,current,R,1
C0029,T00094,Bank_486,SUB60330,revolving,2017-08-21,,30000,30000,15771.22,100,current,R,98
C0030,T00095,Bank_109,SUB23938,revolving,2013-01-25,2014-01-25,2000,2000,1518.63,100,current,R,153
C0030,T00096,Bank_157,SUB81241,mortgage,2020-12-03,2024-12-02,0,450000,361280.85,750,current,R,58
C0031,T00097,Bank_329,SUB13145,revolving,2018-11-18,2019-11-18,20000,20000,6097.38,750,current,R,83
C0031,T00098,Bank_212,SUB39428,revolving,2017-07-13,2020-07-12,30000,30000,11680.62,100,current,R,99
C0031,T00099,Bank_719,SUB29805,revolving,2013-05-12,2016-05-11,5000,5000,4531.93,0,30_days_late,R,149
C0031,T00100,Bank_393,SUB55663,mortgage,2015-07-17,2017-07-16,0,450000,73895.06,500,current,R,123
C0032,T00101,Bank_250,SUB51976,mortgage,2018-08-22,2021-08-21,0,180000,139914.34,250,current,R,86
C0032,T00102,Bank_192,SUB52343,revolving,2014-07-15,2018-07-14,1000,1000,574.73,0,current,R,135
C0033,T00103,Bank_769,SUB42231,installment,2015-07-12,2019-07-11,0,22000,13148.81,250,current,R,123
C0033,T00104,Bank_895,SUB38748,installment,2022-07-18,2027-07-17,0,12000,4670.91,750,current,R,39
C0034,T00105,Bank_457,SUB57298,installment,2012-04-12,2013-04-12,0,22000,20664.85,0,current,R,162
C0034,T00106,Bank_812,SUB28753,installment,2014-05-15,2019-05-14,0,12000,2667.69,250,current,R,137
C0034,T00107,Bank_708,SUB30732,installment,2022-12-01,2026-11-30,0,8000,5546.77,100,current,R,34
C0034,T00108,Bank_581,SUB28364,revolving,2010-03-12,2012-03-11,1000,1000,566.42,250,current,R,187
C0035,T00109,Bank_277,SUB75967,mortgage,2019-08-14,2023-08-13,0,180000,53153.7,100,current,R,74
C0035,T00110,Bank_260,SUB45628,mortgage,2015-01-13,2019-01-12,0,320000,288762.95,250,current,R,129
C0035,T00111,Bank_942,SUB83307,revolving,2012-09-13,,30000,30000,6701.69,250,current,R,157
C0035,T00112,Bank_211,SUB23683,installment,2012-12-15,2016-12-14,0,12000,869.82,750,current,R,154
C0036,T00113,Bank_874,SUB50516,revolving,2021-10-25,2022-10-25,5000,5000,881.25,250,current,R,48
C0036,T00114,Bank_909,SUB73413,revolving,2016-09-07,2017-09-07,5000,5000,508.19,100,current,R,109
C0037,T00115,Bank_422,SUB61202,revolving,2011-06-03,,5000,5000,3708.06,0,current,R,172
C0037,T00116,Bank_491,SUB72515,installment,2021-03-23,2024-03-22,0,8000,4016.72,100,current,R,55
C0038,T00117,Bank_769,SUB28463,revolving,2011-05-06,2015-05-05,30000,30000,3286.78,250,current,R,173
C0038,T00118,Bank_976,SUB66479,mortgage,2015-09-17,,0,320000,143865.92,500,current,R,121
C0038,T00119,Bank_609,SUB22767,revolving,2011-12-25,2013-12-24,20000,20000,12052.04,0,current,R,166
C0038,T00120,Bank_265,SUB18934,mortgage,2010-03-25,,0,180000,89812.04,250,30_days_late,R,187
C0039,T00121,Bank_243,SUB26248,installment,2021-06-03,2025-06-02,0,22000,21105.58,750,current,R,52
C0039,T00122,Bank_475,SUB77171,installment,2025-01-12,,0,22000,18539.86,0,current,R,9
C0039,T00123,Bank_759,SUB17478,installment,2020-06-03,2025-06-02,0,18000,15521.62,0,current,R,64
C0040,T00124,Bank_995,SUB70591,revolving,2017-12-27,2019-12-27,5000,5000,1903.94,100,current,R,94
C0040,T00125,Bank_304,SUB62628,installment,2012-06-15,2017-06-14,0,8000,819.12,750,current,R,160
C0040,T00126,Bank_658,SUB30413,installment,2020-02-11,2025-02-09,0,12000,8330.39,500,current,R,68
C0040,T00127,Bank_584,SUB37973,revolving,2025-03-21,2030-03-20,20000,20000,15264.75,500,current,R,7
C0041,T00128,Bank_994,SUB69168,installment,2016-01-25,2019-01-24,0,12000,1202.97,750,current,R,117
C0041,T00129,Bank_871,SUB48915,revolving,2023-09-07,2026-09-06,1000,1000,108.74,0,current,R,25
C0042,T00130,Bank_674,SUB88266,mortgage,2016-06-14,2021-06-13,0,250000,236741.56,750,current,R,112
C0042,T00131,Bank_569,SUB29331,revolving,2016-02-24,2021-02-22,5000,5000,3287.5,500,current,R,116
C0043,T00132,Bank_977,SUB26478,installment,2020-02-26,,0,18000,9357.55,750,60_days_late,R,68
C0043,T00133,Bank_321,SUB55624,mortgage,2024-11-19,2026-11-19,0,250000,105842.27,250,current,R,11
C0043,T00134,Bank_764,SUB69768,installment,2016-04-22,2017-04-22,0,18000,639.79,100,current,R,114
C0044,T00135,Bank_666,SUB87973,mortgage,2023-06-12,2027-06-11,0,320000,41230.34,750,current,R,28
C0044,T00136,Bank_201,SUB21484,mortgage,2015-09-14,2019-09-13,0,320000,222082.85,0,30_days_late,R,121
C0044,T00137,Bank_615,SUB86183,revolving,2013-02-21,2017-02-20,10000,10000,7399.46,100,current,R,152
C0045,T00138,Bank_912,SUB70810,mortgage,2019-07-07,2023-07-06,0,450000,58464.48,100,current,R,75
C0045,T00139,Bank_370,SUB50291,revolving,2023-11-23,2027-11-22,5000,5000,3854.54,500,current,R,23
C0046,T00140,Bank_685,SUB66363,revolving,2017-01-14,2018-01-14,5000,5000,4135.69,500,current,R,105
C0046,T00141,Bank_845,SUB32769,revolving,2017-09-13,2021-09-12,20000,20000,8638.77,0,current,R,97
C0046,T00142,Bank_742,SUB44108,revolving,2022-06-17,2024-06-16,30000,30000,23673.75,750,current,R,40
C0047,T00143,Bank_656,SUB20324,installment,2015-06-07,2016-06-06,0,8000,4989.91,100,current,R,124
C0047,T00144,Bank_648,SUB42145,mortgage,2022-01-24,2026-01-23,0,320000,63709.75,250,current,R,45
C0047,T00145,Bank_213,SUB70178,revolving,2022-05-22,2023-05-22,30000,30000,1266.46,0,current,R,41
C0047,T00146,Bank_602,SUB12877,revolving,2013-02-05,2015-02-05,1000,1000,494.48,250,current,R,152
C0048,T00147,Bank_110,SUB33419,installment,2012-08-21,2016-08-20,0,18000,11307.78,250,current,R,158
C0048,T00148,Bank_130,SUB80248,installment,2011-02-11,,0,8000,1376.42,100,current,R,176
C0048,T00149,Bank_845,SUB26591,installment,2010-09-17,2012-09-16,0,8000,7061.04,250,current,R,181
C0049,T00150,Bank_509,SUB35304,installment,2018-08-07,,0,18000,8430.52,750,current,R,86
C0049,T00151,Bank_310,SUB73941,installment,2018-03-07,2021-03-06,0,8000,4642.42,500,current,R,91
C0049,T00152,Bank_747,SUB18423,installment,2023-08-14,2026-08-13,0,8000,4824.03,500,current,R,26
C0050,T00153,Bank_290,SUB56890,installment,2015-01-17,2019-01-16,0,18000,7242.74,500,current,R,129
C0050,T00154,Bank_318,SUB70997,revolving,2017-02-07,2020-02-07,5000,5000,687.06,100,current,R,104
C0050,T00155,Bank_926,SUB97994,mortgage,2020-04-18,2023-04-18,0,250000,131542.97,500,current,R,66
C0051,T00156,Bank_531,SUB25631,revolving,2023-11-25,2026-11-24,2000,2000,135.35,100,charged_off,R,23
C0051,T00157,Bank_391,SUB27178,installment,2013-08-06,2018-08-05,0,12000,6880.29,100,30_days_late,R,146
C0052,T00158,Bank_871,SUB55327,revolving,2011-09-17,2012-09-16,10000,10000,1113.15,500,current,R,169
C0052,T00159,Bank_756,SUB25913,mortgage,2022-02-18,2026-02-17,0,180000,71566.99,750,current,R,44
C0052,T00160,Bank_190,SUB35055,revolving,2021-10-04,2022-10-04,2000,2000,241.86,750,current,R,48
C0053,T00161,Bank_176,SUB44567,revolving,2021-09-01,,5000,5000,4339.93,100,60_days_late,R,49
C0053,T00162,Bank_982,SUB29398,installment,2020-12-20,2024-12-19,0,12000,10894.37,100,current,R,58
C0053,T00163,Bank_848,SUB73269,mortgage,2023-11-15,2028-11-13,0,250000,143692.33,500,current,R,23
C0053,T00164,Bank_176,SUB74828,installment,2017-02-09,2018-02-09,0,12000,7837.22,250,current,R,104
C0054,T00165,Bank_419,SUB69509,revolving,2016-01-22,2020-01-21,10000,10000,1203.53,500,current,R,117
C0054,T00166,Bank_292,SUB18996,revolving,2014-09-04,,5000,5000,1950.76,250,current,R,133
C0055,T00167,Bank_571,SUB34514,mortgage,2023-03-22,2028-03-20,0,180000,29051.67,100,current,R,31
C0055,T00168,Bank_254,SUB62026,installment,2018-01-16,2022-01-15,0,18000,2404.68,500,current,R,93
C0055,T00169,Bank_293,SUB62781,installment,2023-09-11,2026-09-10,0,8000,537.35,750,current,R,25
C0056,T00170,Bank_154,SUB14677,revolving,2018-09-20,2022-09-19,30000,30000,2036.3,100,current,R,85
C0056,T00171,Bank_851,SUB45162,revolving,2018-04-03,2021-04-02,20000,20000,13830.64,750,current,R,90
C0057,T00172,Bank_973,SUB41276,mortgage,2016-03-26,2019-03-26,0,320000,231848.63,750,current,R,115
C0057,T00173,Bank_121,SUB33267,installment,2015-06-22,2017-06-21,0,22000,3435.53,750,current,R,124
C0057,T00174,Bank_583,SUB24337,mortgage,2018-02-06,2019-02-06,0,320000,304243.16,750,current,R,92
C0058,T00175,Bank_923,SUB53997,revolving,2010-10-22,,20000,20000,10060.41,100,current,R,180
C0058,T00176,Bank_441,SUB77873,installment,2024-08-24,2029-08-23,0,22000,5794.7,500,current,R,14
C0059,T00177,Bank_131,SUB42029,revolving,2025-02-09,2026-02-09,10000,10000,8420.15,250,current,R,8
C0059,T00178,Bank_997,SUB79062,installment,2023-06-07,2025-06-06,0,8000,7574.68,750,charged_off,R,28
C0059,T00179,Bank_632,SUB54993,installment,2015-05-22,2018-05-21,0,22000,20404.03,250,current,R,125
C0059,T00180,Bank_253,SUB78575,installment,2013-07-26,2016-07-25,0,8000,7605.53,250,current,R,147
C0060,T00181,Bank_413,SUB10667,revolving,2015-05-16,2018-05-15,10000,10000,593.15,100,current,R,125
C0060,T00182,Bank_830,SUB45477,installment,2023-06-22,2024-06-21,0,12000,4274.51,250,60_days_late,R,28
C0060,T00183,Bank_794,SUB93498,installment,2014-12-07,2015-12-07,0,12000,610.21,0,current,R,130
C0061,T00184,Bank_242,SUB99564,installment,2023-07-04,,0,18000,3354.66,500,current,R,27
C0061,T00185,Bank_484,SUB67264,installment,2016-05-05,2018-05-05,0,18000,1839.13,750,current,R,113
C0061,T00186,Bank_572,SUB13627,mortgage,2013-03-17,2016-03-16,0,320000,150285.99,750,60_days_late,R,151
C0062,T00187,Bank_965,SUB61466,installment,2010-07-03,2015-07-02,0,12000,6925.31,500,current,R,183
C0062,T00188,Bank_199,SUB48086,installment,2014-07-22,2019-07-21,0,8000,810.18,100,current,R,135
C0062,T00189,Bank_628,SUB28894,revolving,2025-12-11,,30000,30000,17436.98,100,current,R,1
C0062,T00190,Bank_738,SUB36306,mortgage,2025-03-08,,0,250000,77214.13,100,current,R,7
C0063,T00191,Bank_554,SUB61211,mortgage,2012-01-05,2013-01-04,0,180000,46317.21,100,current,R,165
C0063,T00192,Bank_731,SUB26147,revolving,2011-02-10,2013-02-09,20000,20000,5397.21,750,current,R,176
C0064,T00193,Bank_396,SUB97495,revolving,2014-11-01,2016-10-31,20000,20000,14639.96,750,current,R,131
C0064,T00194,Bank_251,SUB13666,installment,2013-10-16,2016-10-15,0,22000,15174.43,750,current,R,144
C0064,T00195,Bank_463,SUB28258,mortgage,2019-08-04,2020-08-03,0,320000,16870.46,750,current,R,74
C0065,T00196,Bank_278,SUB95972,installment,2024-05-01,,0,12000,4258.57,750,current,R,17
C0065,T00197,Bank_169,SUB94559,installment,2014-06-21,2017-06-20,0,12000,3446.48,500,30_days_late,R,136
C0065,T00198,Bank_949,SUB62923,mortgage,2025-07-16,2027-07-16,0,320000,46158.43,500,current,R,3
C0066,T00199,Bank_878,SUB40347,revolving,2011-01-28,2013-01-27,30000,30000,3659.15,0,current,R,177
C0066,T00200,Bank_174,SUB67872,installment,2017-02-06,2021-02-05,0,8000,635.6,100,current,R,104
C0067,T00201,Bank_602,SUB67345,installment,2010-03-11,2014-03-10,0,12000,11631.79,250,current,R,187
C0067,T00202,Bank_929,SUB28423,mortgage,2019-04-07,2023-04-06,0,250000,25644.39,100,current,R,78
C0067,T00203,Bank_312,SUB84759,revolving,2010-06-25,2015-06-24,5000,5000,989.46,750,current,R,184
C0068,T00204,Bank_230,SUB77796,revolving,2021-06-20,,1000,1000,441.32,100,current,R,52
C0068,T00205,Bank_357,SUB61173,mortgage,2019-02-04,2020-02-04,0,320000,13325.05,500,30_days_late,R,80
C0068,T00206,Bank_158,SUB81557,installment,2021-02-28,,0,8000,4264.37,500,current,R,56
C0069,T00207,Bank_883,SUB17784,installment,2013-10-16,,0,8000,407.87,250,current,R,144
C0069,T00208,Bank_172,SUB64557,mortgage,2014-04-18,2017-04-17,0,180000,44314.65,100,current,R,138
C0069,T00209,Bank_541,SUB72599,installment,2012-09-16,,0,8000,959.19,250,current,R,157
C0069,T00210,Bank_153,SUB60741,revolving,2019-04-01,,2000,2000,1065.64,100,current,R,78
C0070,T00211,Bank_451,SUB67216,revolving,2014-07-23,2016-07-22,10000,10000,1332.73,500,current,R,135
C0070,T00212,Bank_115,SUB42757,revolving,2011-04-08,2012-04-07,10000,10000,7375.77,100,charged_off,R,174
C0070,T00213,Bank_232,SUB89445,installment,2011-02-02,2013-02-01,0,8000,2572.49,250,charged_off,R,176
C0071,T00214,Bank_979,SUB38873,installment,2025-11-04,2026-11-04,0,12000,5941.58,500,30_days_late,R,1
C0071,T00215,Bank_654,SUB75987,mortgage,2024-12-10,,0,320000,273347.87,500,current,R,10
C0071,T00216,Bank_633,SUB40216,mortgage,2013-01-12,,0,450000,129866.62,250,current,R,153
C0072,T00217,Bank_121,SUB75392,revolving,2016-02-12,2018-02-11,2000,2000,1380.82,750,60_days_late,R,116
C0072,T00218,Bank_491,SUB60418,revolving,2011-05-09,2014-05-08,1000,1000,287.93,750,current,R,173
C0072,T00219,Bank_456,SUB13406,mortgage,2024-01-08,2026-01-07,0,450000,239036.52,100,current,R,21
C0073,T00220,Bank_853,SUB17486,revolving,2020-05-26,2022-05-26,5000,5000,3583.77,750,current,R,65
C0073,T00221,Bank_686,SUB84488,mortgage,2013-09-13,,0,320000,270135.53,0,current,R,145
C0073,T00222,Bank_355,SUB81146,revolving,2018-03-13,2020-03-12,1000,1000,289.47,500,current,R,91
C0073,T00223,Bank_682,SUB96609,installment,2019-06-19,2024-06-17,0,18000,5003.95,100,current,R,76
C0074,T00224,Bank_693,SUB20426,revolving,2018-03-15,2022-03-14,10000,10000,555.24,250,current,R,91
C0074,T00225,Bank_230,SUB39808,installment,2018-10-18,2019-10-18,0,12000,3212.24,500,current,R,84
C0074,T00226,Bank_142,SUB82536,revolving,2015-03-28,2016-03-27,1000,1000,648.42,750,current,R,127
C0075,T00227,Bank_145,SUB88719,installment,2017-01-23,,0,8000,5370.02,500,current,R,105
C0075,T00228,Bank_797,SUB64521,revolving,2017-06-04,2021-06-03,20000,20000,1887.04,500,current,R,100
C0075,T00229,Bank_767,SUB59114,revolving,2012-11-14,,1000,1000,333.48,500,60_days_late,R,155
C0075,T00230,Bank_723,SUB37719,revolving,2025-05-20,2028-05-19,5000,5000,4565.48,0,current,R,5
C0076,T00231,Bank_179,SUB39436,mortgage,2021-04-13,2022-04-13,0,250000,96461.52,0,current,R,54
C0076,T00232,Bank_299,SUB85398,revolving,2023-09-24,2028-09-22,20000,20000,9468.72,750,current,R,25
C0076,T00233,Bank_555,SUB63729,revolving,2019-04-11,2022-04-10,10000,10000,3222.24,0,current,R,78
C0077,T00234,Bank_947,SUB26420,mortgage,2012-06-18,2015-06-18,0,450000,270454.43,750,current,R,160
C0077,T00235,Bank_531,SUB76194,mortgage,2017-07-22,2019-07-22,0,320000,250886.95,100,current,R,99
C0077,T00236,Bank_828,SUB71585,revolving,2014-10-16,2016-10-15,10000,10000,348.92,500,current,R,132
C0078,T00237,Bank_462,SUB26705,revolving,2013-03-28,2017-03-27,30000,30000,5407.75,750,30_days_late,R,151
C0078,T00238,Bank_146,SUB19666,revolving,2022-12-18,2025-12-17,5000,5000,4407.65,100,charged_off,R,34
C0078,T00239,Bank_107,SUB87798,installment,2021-08-14,2025-08-13,0,22000,15226.4,100,current,R,50
C0078,T00240,Bank_605,SUB54710,installment,2021-11-21,2024-11-20,0,12000,6099.85,100,current,R,47
C0079,T00241,Bank_384,SUB85384,revolving,2023-05-11,2025-05-10,1000,1000,801.43,250,current,R,29
C0079,T00242,Bank_365,SUB89451,installment,2020-02-12,2021-02-11,0,18000,8769.07,250,current,R,68
C0080,T00243,Bank_652,SUB80505,mortgage,2017-11-09,2019-11-09,0,250000,11564.03,0,60_days_late,R,95
C0080,T00244,Bank_555,SUB78274,installment,2016-01-16,2017-01-15,0,12000,3486.77,0,current,R,117
C0081,T00245,Bank_849,SUB97649,installment,2024-05-04,2025-05-04,0,22000,10857.56,250,charged_off,R,17
C0081,T00246,Bank_853,SUB77219,mortgage,2013-06-26,2015-06-26,0,180000,60125.6,500,current,R,148
C0082,T00247,Bank_671,SUB96655,installment,2012-12-23,2013-12-23,0,8000,7320.59,500,current,R,154
C0082,T00248,Bank_255,SUB73505,mortgage,2011-11-21,2013-11-20,0,450000,385753.6,250,current,R,167
C0082,T00249,Bank_168,SUB74315,mortgage,2015-12-16,2017-12-15,0,180000,167903.9,250,current,R,118
