consumer_id,model,score,score_date,reason_text
C0068,VantageScore4,729,2025-10-05,Low utilization; long history
C0069,FICO8,631,2025-10-05,Recent delinquency; new account
C0069,VantageScore4,644,2025-10-05,Recent inquiry; utilization moderate
C0070,FICO8,529,2025-10-05,High utilization; short history
C0070,VantageScore4,755,2025-10-05,Low utilization; long history
C0071,FICO8,800,2025-10-05,Recent inquiry; utilization moderate
C0071,VantageScore4,587,2025-10-05,Recent delinquency; new account
C0072,FICO8,697,2025-10-05,Recent inquiry; utilization moderate
C0072,VantageScore4,585,2025-10-05,Delinquencies in past 24 months
C0073,FICO8,516,2025-10-05,High utilization; short history
C0073,VantageScore4,492,2025-10-05,Collections and recent delinquencies
C0074,FICO8,649,2025-10-05,Low utilization; long history
C0074,VantageScore4,524,2025-10-05,Recent inquiry; utilization moderate
C0075,FICO8,507,2025-10-05,High utilization; short history
C0075,VantageScore4,608,2025-10-05,Recent inquiry; utilization moderate
C0076,FICO8,774,2025-10-05,Recent delinquency; new account
C0076,VantageScore4,612,2025-10-05,Delinquencies in past 24 months
C0077,FICO8,678,2025-10-05,Collections and recent delinquencies
C0077,VantageScore4,687,2025-10-05,Delinquencies in past 24 months
C0078,FICO8,641,2025-10-05,Low utilization; long history
C0078,VantageScore4,679,2025-10-05,Recent inquiry; utilization moderate
C0079,FICO8,753,2025-10-05,Low utilization; long history
C0079,VantageScore4,796,2025-10-05,Recent inquiry; utilization moderate
C0080,FICO8,779,2025-10-05,Low utilization; long history
C0080,VantageScore4,517,2025-10-05,Short history; high utilization
C0081,FICO8,737,2025-10-05,Recent inquiry; utilization moderate
C0081,VantageScore4,628,2025-10-05,Multiple inquiries; elevated balances
C0082,FICO8,790,2025-10-05,Recent inquiry; utilization moderate
C0082,VantageScore4,624,2025-10-05,Collections and recent delinquencies
C0083,FICO8,675,2025-10-05,Delinquencies in past 24 months
C0083,VantageScore4,495,2025-10-05,Collections and recent delinquencies
C0084,FICO8,560,2025-10-05,Recent delinquency; new account
C0084,VantageScore4,549,2025-10-05,Delinquencies in past 24 months
C0085,FICO8,759,2025-10-05,Multiple inquiries; elevated balances
C0085,VantageScore4,553,2025-10-05,Multiple inquiries; elevated balances
C0086,FICO8,671,2025-10-05,Low utilization; long history
C0086,VantageScore4,763,2025-10-05,High utilization; short history
C0087,FICO8,543,2025-10-05,Low utilization; long history
C0087,VantageScore4,482,2025-10-05,Delinquencies in past 24 months
C0088,FICO8,755,2025-10-05,Recent inquiry; utilization moderate
C0088,VantageScore4,636,2025-10-05,Recent delinquency; new account
C0089,FICO8,656,2025-10-05,Recent delinquency; new account
C0089,VantageScore4,691,2025-10-05,High utilization; short history
C0090,FICO8,562,2025-10-05,High utilization; short history
C0090,VantageScore4,593,2025-10-05,Multiple inquiries; elevated balances
C0091,FICO8,579,2025-10-05,Recent inquiry; utilization moderate
C0091,VantageScore4,572,2025-10-05,Low utilization; long history
C0092,FICO8,761,2025-10-05,Collections and recent delinquencies
C0092,VantageScore4,761,2025-10-05,Recent inquiry; utilization moderate
C0093,FICO8,628,2025-10-05,Recent inquiry; utilization moderate
C0093,VantageScore4,608,2025-10-05,Recent inquiry; utilization moderate
C0094,FICO8,581,2025-10-05,Collections and recent delinquencies
C0094,VantageScore4,649,2025-10-05,Short history; high utilization
C0095,FICO8,545,2025-10-05,Recent delinquency; new account
C0095,VantageScore4,531,2025-10-05,Multiple inquiries; elevated balances
C0096,FICO8,797,2025-10-05,Recent inquiry; utilization moderate
C0096,VantageScore4,579,2025-10-05,Short history; high utilization
C0097,FICO8,728,2025-10-05,Collections and recent delinquencies
C0097,VantageScore4,648,2025-10-05,Multiple inquiries; elevated balances
C0098,FICO8,779,2025-10-05,High utilization; short history
C0098,VantageScore4,769,2025-10-05,Short history; high utilization
C0099,FICO8,641,2025-10-05,Delinquencies in past 24 months
C0099,VantageScore4,566,2025-10-05,Low utilization; long history
C0100,FICO8,640,2025-10-05,Recent delinquency; new account
C0100,VantageScore4,593,2025-10-05,Delinquencies in past 24 months
C0101,FICO8,621,2025-10-05,Short history; high utilization
C0101,VantageScore4,548,2025-10-05,Short history; high utilization
C0102,FICO8,725,2025-10-05,Collections and recent delinquencies
C0102,VantageScore4,708,2025-10-05,Short history; high utilization
C0103,FICO8,636,2025-10-05,Collections and recent delinquencies
C0103,VantageScore4,762,2025-10-05,Recent inquiry; utilization moderate
C0104,FICO8,569,2025-10-05,Recent inquiry; utilization moderate
C0104,VantageScore4,623,2025-10-05,High utilization; short history
C0105,FICO8,755,2025-10-05,Recent delinquency; new account
C0105,VantageScore4,614,2025-10-05,Recent inquiry; utilization moderate
C0106,FICO8,518,2025-10-05,Low utilization; long history
C0106,VantageScore4,739,2025-10-05,Low utilization; long history
C0107,FICO8,777,2025-10-05,Delinquencies in past 24 months
C0107,VantageScore4,782,2025-10-05,Recent delinquency; new account
C0108,FICO8,498,2025-10-05,Multiple inquiries; elevated balances
C0108,VantageScore4,758,2025-10-05,Collections and recent delinquencies
C0109,FICO8,556,2025-10-05,Short history; high utilization
C0109,VantageScore4,680,2025-10-05,Recent delinquency; new account
C0110,FICO8,781,2025-10-05,Multiple inquiries; elevated balances
C0110,VantageScore4,548,2025-10-05,Collections and recent delinquencies
C0111,FICO8,736,2025-10-05,Recent inquiry; utilization moderate
C0111,VantageScore4,683,2025-10-05,Short history; high utilization
C0112,FICO8,737,2025-10-05,Low utilization; long history
C0112,VantageScore4,602,2025-10-05,High utilization; short history
C0113,FICO8,743,2025-10-05,High utilization; short history
C0113,VantageScore4,708,2025-10-05,High utilization; short history
C0114,FICO8,571,2025-10-05,High utilization; short history
C0114,VantageScore4,727,2025-10-05,Short history; high utilization
C0115,FICO8,500,2025-10-05,Recent delinquency; new account
C0115,VantageScore4,729,2025-10-05,Recent delinquency; new account
C0116,FICO8,512,2025-10-05,Multiple inquiries; elevated balances
C0116,VantageScore4,669,2025-10-05,Recent delinquency; new account
C0117,FICO8,501,2025-10-05,Recent delinquency; new account
C0117,VantageScore4,745,2025-10-05,Short history; high utilization
C0118,FICO8,678,2025-10-05,Collections and recent delinquencies
C0118,VantageScore4,712,2025-10-05,Low utilization; long history
C0119,FICO8,500,2025-10-05,Short history; high utilization
C0119,VantageScore4,532,2025-10-05,Multiple inquiries; elevated balances
C0120,FICO8,614,2025-10-05,High utilization; short history
C0120,VantageScore4,672,2025-10-05,Delinquencies in past 24 months
C0121,FICO8,667,2025-10-05,Recent inquiry; utilization moderate
C0121,VantageScore4,744,2025-10-05,Multiple inquiries; elevated balances
C0122,FICO8,672,2025-10-05,Recent delinquency; new account
C0122,VantageScore4,744,2025-10-05,Delinquencies in past 24 months
C0123,FICO8,660,2025-10-05,Short history; high utilization
C0123,VantageScore4,729,2025-10-05,Collections and recent delinquencies
C0124,FICO8,789,2025-10-05,Low utilization; long history
C0124,VantageScore4,736,2025-10-05,High utilization; short history
C0125,FICO8,705,2025-10-05,High utilization; short history
C0125,VantageScore4,597,2025-10-05,Recent inquiry; utilization moderate
C0126,FICO8,743,2025-10-05,Multiple inquiries; elevated balances
C0126,VantageScore4,588,2025-10-05,High utilization; short history
C0127,FICO8,575,2025-10-05,High utilization; short history
C0127,VantageScore4,665,2025-10-05,Recent inquiry; utilization moderate
C0128,FICO8,597,2025-10-05,Delinquencies in past 24 months
C0128,VantageScore4,649,2025-10-05,Recent inquiry; utilization moderate
C0129,FICO8,726,2025-10-05,Collections and recent delinquencies
C0129,VantageScore4,725,2025-10-05,Recent delinquency; new account
C0130,FICO8,782,2025-10-05,High utilization; short history
C0130,VantageScore4,690,2025-10-05,Low utilization; long history
C0131,FICO8,604,2025-10-05,Low utilization; long history
C0131,VantageScore4,545,2025-10-05,High utilization; short history
C0132,FICO8,548,2025-10-05,Low utilization; long history
C0132,VantageScore4,773,2025-10-05,High utilization; short history
C0133,FICO8,508,2025-10-05,High utilization; short history
C0133,VantageScore4,612,2025-10-05,High utilization; short history
C0134,FICO8,744,2025-10-05,Delinquencies in past 24 months
C0134,VantageScore4,786,2025-10-05,Low utilization; long history
C0135,FICO8,625,2025-10-05,Recent inquiry; utilization moderate
C0135,VantageScore4,590,2025-10-05,Collections and recent delinquencies
C0136,FICO8,790,2025-10-05,Collections and recent delinquencies
C0136,VantageScore4,726,2025-10-05,High utilization; short history
C0137,FICO8,592,2025-10-05,Delinquencies in past 24 months
C0137,VantageScore4,787,2025-10-05,High utilization; short history
C0138,FICO8,778,2025-10-05,High utilization; short history
C0138,VantageScore4,799,2025-10-05,Multiple inquiries; elevated balances
C0139,FICO8,565,2025-10-05,Short history; high utilization
C0139,VantageScore4,712,2025-10-05,Recent inquiry; utilization moderate
C0140,FICO8,597,2025-10-05,Delinquencies in past 24 months
C0140,VantageScore4,677,2025-10-05,High utilization; short history
C0141,FICO8,535,2025-10-05,Low utilization; long history
C0141,VantageScore4,583,2025-10-05,Delinquencies in past 24 months
C0142,FICO8,556,2025-10-05,Recent inquiry; utilization moderate
C0142,VantageScore4,570,2025-10-05,Collections and recent delinquencies
C0143,FICO8,794,2025-10-05,Low utilization; long history
C0143,VantageScore4,752,2025-10-05,Recent inquiry; utilization moderate
C0144,FICO8,527,2025-10-05,Collections and recent delinquencies
C0144,VantageScore4,546,2025-10-05,Low utilization; long history
C0145,FICO8,700,2025-10-05,Delinquencies in past 24 months
C0145,VantageScore4,669,2025-10-05,Low utilization; long history
C0146,FICO8,751,2025-10-05,Delinquencies in past 24 months
C0146,VantageScore4,597,2025-10-05,Collections and recent delinquencies
C0147,FICO8,675,2025-10-05,Short history; high utilization
C0147,VantageScore4,781,2025-10-05,Recent inquiry; utilization moderate
C0148,FICO8,697,2025-10-05,High utilization; short history
C0148,VantageScore4,610,2025-10-05,Collections and recent delinquencies
C0149,FICO8,599,2025-10-05,Recent inquiry; utilization moderate
C0149,VantageScore4,625,2025-10-05,Delinquencies in past 24 months
C0150,FICO8,611,2025-10-05,Recent delinquency; new account
C0150,VantageScore4,482,2025-10-05,Low utilization; long history
C0151,FICO8,775,2025-10-05,Recent inquiry; utilization moderate
C0151,VantageScore4,746,2025-10-05,Low utilization; long history
C0152,FICO8,672,2025-10-05,Recent delinquency; new account
C0152,VantageScore4,641,2025-10-05,Delinquencies in past 24 months
C0153,FICO8,665,2025-10-05,Recent inquiry; utilization moderate
C0153,VantageScore4,559,2025-10-05,Delinquencies in past 24 months
C0154,FICO8,779,2025-10-05,Multiple inquiries; elevated balances
C0154,VantageScore4,613,2025-10-05,Delinquencies in past 24 months
C0155,FICO8,769,2025-10-05,Short history; high utilization
C0155,VantageScore4,793,2025-10-05,Multiple inquiries; elevated balances
C0156,FICO8,683,2025-10-05,Recent delinquency; new account
C0156,VantageScore4,691,2025-10-05,Collections and recent delinquencies
C0157,FICO8,571,2025-10-05,Short history; high utilization
C0157,VantageScore4,766,2025-10-05,Collections and recent delinquencies
C0158,FICO8,609,2025-10-05,Multiple inquiries; elevated balances
C0158,VantageScore4,775,2025-10-05,Short history; high utilization
C0159,FICO8,683,2025-10-05,High utilization; short history
C0159,VantageScore4,540,2025-10-05,Recent delinquency; new account
C0160,FICO8,708,2025-10-05,High utilization; short history
C0160,VantageScore4,531,2025-10-05,Recent delinquency; new account
C0161,FICO8,740,2025-10-05,Delinquencies in past 24 months
C0161,VantageScore4,653,2025-10-05,Low utilization; long history
C0162,FICO8,562,2025-10-05,Delinquencies in past 24 months
C0162,VantageScore4,482,2025-10-05,Recent inquiry; utilization moderate
C0163,FICO8,554,2025-10-05,Collections and recent delinquencies
C0163,VantageScore4,787,2025-10-05,Delinquencies in past 24 months
C0164,FICO8,525,2025-10-05,Recent inquiry; utilization moderate
C0164,VantageScore4,614,2025-10-05,Recent delinquency; new account
C0165,FICO8,669,2025-10-05,Recent inquiry; utilization moderate
C0165,VantageScore4,791,2025-10-05,Low utilization; long history
C0166,FICO8,676,2025-10-05,Delinquencies in past 24 months
C0166,VantageScore4,794,2025-10-05,Multiple inquiries; elevated balances
C0167,FICO8,785,2025-10-05,Low utilization; long history
C0167,VantageScore4,569,2025-10-05,Collections and recent delinquencies
C0168,FICO8,704,2025-10-05,Low utilization; long history
C0168,VantageScore4,583,2025-10-05,Multiple inquiries; elevated balances
C0169,FICO8,579,2025-10-05,Low utilization; long history
C0169,VantageScore4,786,2025-10-05,Recent delinquency; new account
C0170,FICO8,794,2025-10-05,High utilization; short history
C0170,VantageScore4,498,2025-10-05,Short history; high utilization
C0171,FICO8,602,2025-10-05,Low utilization; long history
C0171,VantageScore4,560,2025-10-05,Recent inquiry; utilization moderate
C0172,FICO8,621,2025-10-05,Delinquencies in past 24 months
C0172,VantageScore4,660,2025-10-05,Delinquencies in past 24 months
C0173,FICO8,687,2025-10-05,Recent delinquency; new account
C0173,VantageScore4,745,2025-10-05,Low utilization; long history
C0174,FICO8,515,2025-10-05,Recent inquiry; utilization moderate
C0174,VantageScore4,761,2025-10-05,Multiple inquiries; elevated balances
C0175,FICO8,766,2025-10-05,Short history; high utilization
C0175,VantageScore4,657,2025-10-05,Multiple inquiries; elevated balances
C0176,FICO8,595,2025-10-05,Recent delinquency; new account
C0176,VantageScore4,712,2025-10-05,Delinquencies in past 24 months
C0177,FICO8,774,2025-10-05,Low utilization; long history
C0177,VantageScore4,613,2025-10-05,High utilization; short history
C0178,FICO8,688,2025-10-05,Recent inquiry; utilization moderate
C0178,VantageScore4,766,2025-10-05,Recent inquiry; utilization moderate
C0179,FICO8,737,2025-10-05,Multiple inquiries; elevated balances
C0179,VantageScore4,654,2025-10-05,Recent inquiry; utilization moderate
C0180,FICO8,742,2025-10-05,Multiple inquiries; elevated balances
C0180,VantageScore4,755,2025-10-05,Multiple inquiries; elevated balances
C0181,FICO8,706,2025-10-05,Delinquencies in past 24 months
C0181,VantageScore4,768,2025-10-05,Collections and recent delinquencies
C0182,FICO8,604,2025-10-05,Short history; high utilization
C0182,VantageScore4,714,2025-10-05,Collections and recent delinquencies
C0183,FICO8,780,2025-10-05,Low utilization; long history
C0183,VantageScore4,726,2025-10-05,Recent inquiry; utilization moderate
C0184,FICO8,612,2025-10-05,Recent inquiry; utilization moderate
C0184,VantageScore4,675,2025-10-05,Recent delinquency; new account
C0185,FICO8,597,2025-10-05,Short history; high utilization
C0185,VantageScore4,691,2025-10-05,Short history; high utilization
C0186,FICO8,744,2025-10-05,Low utilization; long history
C0186,VantageScore4,614,2025-10-05,Recent delinquency; new account
C0187,FICO8,627,2025-10-05,Recent inquiry; utilization moderate
C0187,VantageScore4,684,2025-10-05,Short history; high utilization
C0188,FICO8,518,2025-10-05,High utilization; short history
C0188,VantageScore4,723,2025-10-05,Short history; high utilization
C0189,FICO8,661,2025-10-05,Recent delinquency; new account
C0189,VantageScore4,773,2025-10-05,Multiple inquiries; elevated balances
C0190,FICO8,573,2025-10-05,Recent delinquency; new account
C0190,VantageScore4,735,2025-10-05,Recent delinquency; new account
C0191,FICO8,600,2025-10-05,Recent delinquency; new account
C0191,VantageScore4,615,2025-10-05,Recent delinquency; new account
C0192,FICO8,597,2025-10-05,Recent delinquency; new account
C0192,VantageScore4,607,2025-10-05,Short history; high utilization
C0193,FICO8,559,2025-10-05,Recent inquiry; utilization moderate
C0193,VantageScore4,541,2025-10-05,Recent inquiry; utilization moderate
C0194,FICO8,732,2025-10-05,Low utilization; long history
C0194,VantageScore4,757,2025-10-05,Low utilization; long history
C0195,FICO8,726,2025-10-05,Short history; high utilization
C0195,VantageScore4,797,2025-10-05,Short history; high utilization
C0196,FICO8,732,2025-10-05,Multiple inquiries; elevated balances
C0196,VantageScore4,731,2025-10-05,High utilization; short history
C0197,FICO8,741,2025-10-05,Multiple inquiries; elevated balances
C0197,VantageScore4,683,2025-10-05,Recent delinquency; new account
C0198,FICO8,775,2025-10-05,High utilization; short history
C0198,VantageScore4,507,2025-10-05,Delinquencies in past 24 months
C0199,FICO8,724,2025-10-05,Low utilization; long history
C0199,VantageScore4,737,2025-10-05,Short history; high utilization
C0200,FICO8,681,2025-10-05,High utilization; short history
C0200,VantageScore4,714,2025-10-05,Recent inquiry; utilization moderate
C0201,FICO8,745,2025-10-05,Collections and recent delinquencies
C0201,VantageScore4,641,2025-10-05,Low utilization; long history
C0202,FICO8,486,2025-10-05,Recent delinquency; new account
C0202,VantageScore4,674,2025-10-05,Recent inquiry; utilization moderate
C0203,FICO8,646,2025-10-05,Short history; high utilization
C0203,VantageScore4,793,2025-10-05,Multiple inquiries; elevated balances
C0204,FICO8,575,2025-10-05,Multiple inquiries; elevated balances
C0204,VantageScore4,601,2025-10-05,Multiple inquiries; elevated balances
C0205,FICO8,721,2025-10-05,Short history; high utilization
C0205,VantageScore4,667,2025-10-05,High utilization; short history
C0206,FICO8,735,2025-10-05,Delinquencies in past 24 months
C0206,VantageScore4,587,2025-10-05,Delinquencies in past 24 months
C0207,FICO8,670,2025-10-05,Short history; high utilization
C0207,VantageScore4,685,2025-10-05,Multiple inquiries; elevated balances
C0208,FICO8,710,2025-10-05,High utilization; short history
C0208,VantageScore4,772,2025-10-05,High utilization; short history
C0209,FICO8,774,2025-10-05,Recent delinquency; new account
C0209,VantageScore4,531,2025-10-05,Multiple inquiries; elevated balances
C0210,FICO8,600,2025-10-05,Delinquencies in past 24 months
C0210,VantageScore4,675,2025-10-05,Recent delinquency; new account
C0211,FICO8,554,2025-10-05,High utilization; short history
C0211,VantageScore4,722,2025-10-05,Low utilization; long history
C0212,FICO8,570,2025-10-05,Delinquencies in past 24 months
C0212,VantageScore4,735,2025-10-05,High utilization; short history
C0213,FICO8,744,2025-10-05,Short history; high utilization
C0213,VantageScore4,729,2025-10-05,Multiple inquiries; elevated balances
C0214,FICO8,608,2025-10-05,Low utilization; long history
C0214,VantageScore4,683,2025-10-05,Recent inquiry; utilization moderate
C0215,FICO8,563,2025-10-05,Low utilization; long history
C0215,VantageScore4,590,2025-10-05,Multiple inquiries; elevated balances
C0216,FICO8,723,2025-10-05,Recent inquiry; utilization moderate
C0216,VantageScore4,710,2025-10-05,Short history; high utilization
C0217,FICO8,613,2025-10-05,Short history; high utilization
C0217,VantageScore4,664,2025-10-05,Multiple inquiries; elevated balances
C0218,FICO8,656,2025-10-05,Low utilization; long history
C0218,VantageScore4,690,2025-10-05,Recent inquiry; utilization moderate
C0219,FICO8,659,2025-10-05,Recent delinquency; new account
C0219,VantageScore4,775,2025-10-05,High utilization; short history
C0220,FICO8,625,2025-10-05,Short history; high utilization
C0220,VantageScore4,646,2025-10-05,Collections and recent delinquencies
C0221,FICO8,708,2025-10-05,Recent inquiry; utilization moderate
C0221,VantageScore4,675,2025-10-05,Multiple inquiries; elevated balances
C0222,FICO8,717,2025-10-05,High utilization; short history
C0222,VantageScore4,565,2025-10-05,Short history; high utilization
C0223,FICO8,695,2025-10-05,Delinquencies in past 24 months
C0223,VantageScore4,516,2025-10-05,Recent inquiry; utilization moderate
C0224,FICO8,562,2025-10-05,Short history; high utilization
C0224,VantageScore4,596,2025-10-05,Short history; high utilization
C0225,FICO8,642,2025-10-05,Multiple inquiries; elevated balances
C0225,VantageScore4,616,2025-10-05,Delinquencies in past 24 months
C0226,FICO8,618,2025-10-05,Collections and recent delinquencies
C0226,VantageScore4,665,2025-10-05,Collections and recent delinquencies
C0227,FICO8,691,2025-10-05,High utilization; short history
C0227,VantageScore4,574,2025-10-05,Low utilization; long history
C0228,FICO8,544,2025-10-05,Recent delinquency; new account
C0228,VantageScore4,608,2025-10-05,Recent inquiry; utilization moderate
C0229,FICO8,587,2025-10-05,High utilization; short history
C0229,VantageScore4,683,2025-10-05,Recent inquiry; utilization moderate
